icao,"name",lat,lon,runways,ils
2G9,"Somerset Co",40.03814725,-79.01423975,2,1
40N,"Chester Co G O Carlson",39.978961,-75.8654665,1,1
AYPY,"Port Moresby Jacksons Intl",-09.44212500,147.21687300,2,2
BGSF,"Kangerlussuaq",67.00967268,-050.70545992,2,1
BGTL,"Thule Air Base",76.531203,-68.7031625,1,1
BIAR,"Akureyri",65.65465278,-018.07558168,1,1
BIEG,"Egilsstadir",65.27461098,-014.40650857,1,1
BIHU,"Husavik",65.9523055,-17.425978,1,1
BIIS,"Isafjordur",66.05533884,-023.14250263,1,1
BIKF,"Keflavik",63.98066273,-022.59533143,2,4
BIKR,"Saudarkrokur",65.73883071,-019.58074175,1,1
BIRK,"Reykjavik",64.13058123,-021.93379856,3,2
BKPR,"Pristina Intl",42.58291647,021.03030656,1,1
CYAM,"Sault Ste Marie",46.48491094,-084.50043644,2,1
CYBC,"Baie Comeau",49.1322705,-68.207207,1,1
CYBG,"Bagotville",48.33118125,-70.9941655,2,1
CYBL,"Campbell River",49.95213200,-125.26903100,1,1
CYBR,"Brandon Muni",49.9092828333333,-99.9495163333333,3,1
CYBW,"Calgary Springbank",51.10898200,-114.37682700,2,1
CYBX,"Lourdes De Blanc Sablon",51.4421065,-57.186311,1,1
CYCG,"Castlegar",49.2962225,-117.632504,1,1
CYDF,"Deer Lake",49.20978489,-057.39895855,1,1
CYEG,"Edmonton Intl",53.31043856,-113.58308277,2,3
CYFC,"Fredericton",45.87240787,-066.52837011,2,2
CYGK,"Kingston",44.223472,-76.5984,2,1
CYGP,"Gaspe",48.7752775,-64.478611,1,1
CYGR,"Iles De La Madeleine",47.425196,-61.777085,2,1
CYGV,"Havre St Pierre",50.2819445,-63.611389,1,1
CYHD,"Dryden Rgnl",49.83020825,-92.74111025,2,1
CYHM,"John C Munro Hamilton Intl",43.17210000,-079.93425000,2,1
CYHR,"Chevery",50.468974,-59.6366805,1,1
CYHU,"St Hubert",45.51507200,-073.41500100,3,1
CYHZ,"Halifax Intl",44.88112674,-063.50210080,2,2
CYIF,"St Augustin",51.211666,-58.658333,1,1
CYKA,"Kamloops",50.69917457,-120.44189468,2,1
CYKF,"Waterloo",43.4600835,-80.38261275,2,1
CYKZ,"Buttonville Muni",43.86048525,-79.3688215,2,1
CYLW,"Kelowna",49.95293300,-119.38127800,1,1
