icao,"name",lat,lon,runways,ils,elev_ft_AMSL
00E,"[h] Apache Junction",33.49421222,-111.64124806,0,0,2527
00FD,"[h] Ringhaver",28.84665027,-82.34537195,0,0,25
00II,"[h] Bailey Generation Station",41.64448166,-87.12281195,0,0,600
00MI,"[h] Dow Chemical",43.94944944,-86.41674862,0,0,588
00NJ,"[h] Colgate-piscataway",40.52093694,-74.47459751,0,0,78
00OI,"[h] Miami Valley Hospital",39.74533666,-84.18743973,0,0,905
00OR,"[h] Steel Systems",44.93289666,-123.13037639,0,0,195
00TA,"[h] Sw Region Faa",32.82694444,-97.30583334,0,0,598
00VA,"[h] City",36.74598305,-76.05243167,0,0,12
00X,"[h] Doral Resort & Country Club",25.81287583,-80.33894084,0,0,6
01CA,"[h] Lugo Substation",34.36861222,-117.37004695,0,0,3733
01CO,"[h] St Vincent General Hospital",39.24526749,-106.24585612,0,0,10175
01FD,"[h] Florida Hospital-altamonte",28.66638638,-81.37062417,0,0,86
01GA,"[h] Medical Center",32.47930888,-84.97909834,0,0,319
01IL,"[h] Hoopeston Community Memorial Hospital",40.4586475,-87.65946806,0,0,583
01MA,"[h] Digital Dascomb Road",42.62509222,-71.18006945,0,0,140
01MI,"[h] Flow Through Terminal",43.04947111,-83.67967862,0,0,736
01MO,"[h] Hp Troop C Hq",38.64171916,-90.48428695,0,0,615
01NJ,"[h] Albert Guido Memorial",40.74176805,-74.13708778,0,0,10
01NY,"[h] Vassar Hospital",41.70009333,-73.94958223,0,0,100
01OI,"[h] Galion Community Hospital",40.73061333,-82.80156973,0,0,1140
01PA,"[h] Pine",40.65562222,-80.05089139,0,0,1215
01TA,"[h] Red Adair",29.84050388,-95.50438584,0,0,90
01TS,"[h] St Joseph Hospital",32.72846416,-97.32446056,0,0,675
01WA,"[h] Willapa Harbor",46.66315472,-123.81210612,0,0,154
01X,"[h] Jackson Memorial Hospital",25.79204277,-80.21227028,0,0,8
01XS,"[h] Meadowood Ranch",32.02016027,-95.74551695,0,0,500
02CA,"[h] Swepi Beta Platform Ellen",33.58252222,-118.12895417,0,0,122
02E,"[h] Mesa Lutheran Hospital",33.4342125,-111.84152945,0,0,1248
02FD,"[h] Doctors Memorial Hospital",30.78518944,-85.67854195,0,0,170
02FL,"[h] Florida Power Corp General Hq Helistop",27.739195,-82.68176612,0,0,64
02IS,"[h] Condell Memorial Hospital",42.27502305,-87.95701889,0,0,720
02KY,"[h] Boone National Guard",38.183406,-84.899951,0,0,803
02LA,"[h] La State Police Troop G",32.53126222,-93.66017695,0,0,168
02LL,"[h] Official Airline Guides",41.84928027,-87.93342306,0,0,670
02MA,"[h] Cuttyhunk",41.41955194,-70.92697945,0,0,9
02MI,"[h] Nitz",42.53503277,-83.67716334,0,0,970
02NJ,"[h] Penske",40.55732555,-74.4670975,0,0,78
02NY,"[h] Hansen",43.13256833,-75.65545973,0,0,435
02OK,"[h] Canon",35.45839333,-97.52531639,0,0,1191
02PA,"[h] Louis A Grant Inc",40.46312777,-79.76893334,0,0,1070
02PN,"[h] Peco Berwyn",40.06955166,-75.45519306,0,0,390
02Q,"[h] St Rose Hospital Helistop",37.63326611,-122.08857417,0,0,90
02TA,"[h] Matagorda Shore Facility",28.721375,-95.87385028,0,0,5
02TS,"[h] Fwomc",32.74763,-97.37001751,0,0,684
02X,"[h] Biscayne",25.88396100,-80.15411400,0,0,0
03CA,"[h] Grossmont Hospital",32.77977277,-117.00586112,0,0,634
03FL,"[h] Ranger",26.68367694,-80.18726723,0,0,20
03IS,"[h] St Anthonys",38.90504777,-90.1734425,0,0,580
03K,"[h] State Fairgrounds",39.83755,-89.63760028,0,0,650
03KS,"[h] Valley Grain",39.86472055,-95.26414278,0,0,1160
03LA,"[h] Damien",30.19964083,-91.12788167,0,0,25
03MI,"[h] Harold Miller",43.55085666,-83.86219556,0,0,585
03NJ,"[h] At&t",40.66871277,-74.41070723,0,0,360
03OI,"[h] Marymount Hospital",41.42088611,-81.59984667,0,0,890
03PA,"[h] Collegeville",40.16288222,-75.46574028,0,0,197
03TS,"[h] Shannon Medical Center",31.45988333,-100.43759306,0,0,1825
03TX,"[h] M D K Field",29.58162166,-95.30715889,0,0,50
03X,"[h] Emergency",25.81565305,-80.14143473,0,0,6
04CO,"[h] Denver Water Department",39.72943111,-105.00942667,0,0,5220
04KS,"[h] Robinson Industries",38.97889083,-95.21969417,0,0,835
04NC,"[h] Western Wake Medical Center",35.74,-78.78222223,0,0,445
04OK,"[h] Stillwater Medical Center",36.11532861,-97.07947945,0,0,984
04PA,"[h] S&c Distribution Center",39.87927972,-75.22879278,0,0,50
04PN,"[h] Strawbridge & Clothier Exton",40.03066194,-75.63021001,0,0,320
04TA,"[h] Capitol National Bank Building",30.27104166,-97.7447275,0,0,540
04TS,"[h] Hummingbird",30.55353166,-97.60611639,0,0,690
04VA,"[h] Vint Hill Farms Station",38.7512275,-77.67138056,0,0,392
04X,"[h] Doral Ocean Beach Resort",25.8256525,-80.12115612,0,0,6
04XS,"[h] Napiers",32.58208055,-97.14251001,0,0,625
05CA,"[h] Lost Hills Sheriffs Station",34.13777777,-118.71444445,0,0,888
05FD,"[h] Aventura",25.96092527,-80.13921195,0,0,6
05GA,"[h] Beaver Ruin",33.93065805,-84.15324973,0,0,990
05L,"[h] Hughes-fullerton - Ground Level",33.87834749,-117.96422806,0,0,154
05LL,"[h] Midwest",41.74892,-87.93505889,0,0,710
05M,"[h] Pauls Valley General Hospital",34.71674805,-97.21696695,0,0,911
05MA,"[h] Bentley",42.69120388,-70.91227417,0,0,80
05NC,"[h] The Brunswick Hospital",34.00989388,-78.29222195,0,0,27
05NJ,"[h] Colgate-jersey City",40.71399111,-74.03152889,0,0,7
05NY,"[h] Oswego County",43.55201388,-76.09020112,0,0,445
05PA,"[h] Philadelphia Market Street",39.95483472,-75.17823389,0,0,110
05PN,"[h] State Police Area Iii",40.30008861,-76.85802834,0,0,485
05R,"[h] San Jacinto Methodist Hospital",29.73772694,-94.98020528,0,0,19
05WA,"[h] Sacred Heart Medical Center Helistop",47.648225,-117.41354556,0,0,2220
06CA,"[h] Sce Solar I",34.87081888,-116.83420139,0,0,1942
06FD,"[h] Williams Road Helistop",26.41758111,-81.82425306,0,0,12
06FL,"[h] Morton Plant Hospital",27.95335361,-82.80426917,0,0,3
06GA,"[h] Smith",33.75343972,-84.16214028,0,0,1065
06H,"[h] Hawarden",42.99859916,-96.48086389,0,0,1174
06KS,"[h] Riverside Hospital Airlift",37.69584694,-97.37254501,0,0,1332
06KY,"[h] Falcon",37.52592388,-83.34515084,0,0,751
06LA,"[h] Panther Helicopters Inc",29.84604,-90.02784862,0,0,-1
06MA,"[h] The Barn",42.69064444,-71.60895806,0,0,210
06MI,"[h] W A Foote Memorial Hospital",42.25142416,-84.39245723,0,0,965
06NE,"[h] St Marys Hospital",40.68000138,-95.86166862,0,0,1015
06NJ,"[h] Chemical Bank - New Jersey Na",39.9501125,-74.99961389,0,0,25
06O1,"[h] Saint Elizabeth Medical Center",41.11478027,-80.65701973,0,0,1020
06OK,"[h] Albert Lodge",36.54174444,-94.83356528,0,0,900
06WA,"[h] N A Degerstrom Yard",47.68628472,-117.19798389,0,0,2013
06XS,"[h] Diamond",29.68356222,-95.14465417,0,0,47
07CA,"[h] West Side Hospital",35.13885583,-119.45095195,0,0,850
07FL,"[h] Southwest Florida Regional Medical Cen",26.60535166,-81.85953028,0,0,18
07II,"[h] Jennings Hospital",39.01060916,-85.64080251,0,0,740
07LA,"[h] Air Oil Inc Nr 1",29.93714916,-90.18368612,0,0,0
07MA,"[h] West Pond",41.9170475,-70.70948056,0,0,149
07NJ,"[h] Palisades General Hospital",40.7917675,-73.99541667,0,0,10
07OH,"[h] Tennessee Gas",39.93729472,-81.68346028,0,0,1025
07PN,"[h] At&t",40.24758972,-76.80608278,0,0,460
07Q,"[h] Jackson Lake",39.46240111,-120.56604501,0,0,6650
07TX,"[h] Pecks",33.18400472,-96.44804056,0,0,660
07WA,"[h] Deaconess Medical Center",47.65183583,-117.42465695,0,0,2110
08CA,"[h] Pg & E Co. Placerville Svc Center",38.69490361,-120.82715806,0,0,1810
08G,"[h] Salt Fork Lodge",40.11090416,-81.52623056,0,0,960
08II,"[h] Lagrange Hospital",41.64588333,-85.42636917,0,0,943
08L,"[h] Verdugo Hills Hospital",34.20417138,-118.21757417,0,0,1400
08LA,"[h] Air Oil Inc Nr 2",29.95298194,-90.182575,0,0,4
08MI,"[h] Edward W Sparrow Hospital",42.73420138,-84.536645,0,0,860
08NJ,"[h] St Barnabas Medical Center",40.76260055,-74.30403723,0,0,429
08PA,"[h] Pocono Raceway",41.05842111,-75.49963084,0,0,1812
08PN,"[h] Thomson",40.04593083,-76.28079112,0,0,310
08TA,"[h] Rancho Del Lago",29.95188138,-98.22445639,0,0,1208
08WA,"[h] Manchester Laboratory",47.57426333,-122.54791223,0,0,2
09IL,"[h] Silver Cross Hospital",41.53641972,-88.05255751,0,0,610
09IS,"[h] Swedish American",42.26502,-89.07427223,0,0,874
09KY,"[h] Baptist Hospital East",38.23895944,-85.63940528,0,0,531
09MI,"[h] Michigan National Guard Headquarters",42.70809055,-84.56081223,0,0,842
09NJ,"[h] Stonebridge Farm Helistop",40.65371277,-74.68654945,0,0,100
09OR,"[h] Mid-columbia Medical Center",45.65706555,-121.14507056,0,0,300
09PN,"[h] Hundley Residence",40.56204583,-75.14267362,0,0,480
09WA,"[h] Holy Family Hospital",47.71044694,-117.40688223,0,0,2081
09X,"[h] Delta Regional Medical Center",33.41067166,-91.03427251,0,0,123
09XS,"[h] Baptist Medical Center",29.43301027,-98.49223917,0,0,710
0AL0,"[h] Thomas Hospital",30.52777777,-87.90277778,0,0,115
0AL2,"[h] Clay County Hospital",33.275,-85.83333334,0,0,1040
0AL3,"[h] Hospital Pad",31.43055555,-86.94027778,0,0,295
0AL4,"[h] B.m.c. - De Kalb",34.44083333,-85.75638889,0,0,870
0AL6,"[h] D.w. Mcmillian Memorial Hospital",31.12722222,-87.07333334,0,0,155
0AL7,"[h] Gadsden Regl Medical Center",34.00833333,-85.96527778,0,0,621
0AL8,"[h] Brookwood Medical Center",33.46388888,-86.77305556,0,0,763
0AR4,"[h] Gravette Medical Center Hospital",36.40785416,-94.45688167,0,0,1251
0AR5,"[h] Regional Medical Center",35.83618555,-90.70177889,0,0,382
0AR6,"[h] Ami National Park Medical Center",34.48147833,-93.03101139,0,0,547
0AR8,"[h] Howard Memorial Hospital",33.95011333,-93.85212917,0,0,549
0AR9,"[h] Eureka Springs Hospital",36.40007138,-93.74352667,0,0,1540
0AZ3,"[h] 1st St Center Parking Garage",33.41699055,-111.83264,0,0,1263
0AZ6,"[h] St Josephs Hospital",33.48170972,-112.07737139,0,0,1117
0AZ7,"[h] Sunstate",33.44365555,-111.96347834,0,0,1180
