icao,"name",lat,lon,runways,ils,elev_ft_AMSL
2G9,"Somerset Co",40.03814725,-79.01423975,2,1,2272
40N,"Chester Co G O Carlson",39.978961,-75.8654665,1,1,660
AYPY,"Port Moresby Jacksons Intl",-9.44212500,147.21687300,2,2,146
BGSF,"Kangerlussuaq",67.00967268,-50.70545992,2,1,165
BGTL,"Thule Air Base",76.531203,-68.7031625,1,1,251
BIAR,"Akureyri",65.65465278,-18.07558168,1,1,5
BIEG,"Egilsstadir",65.27461098,-14.40650857,1,1,76
BIHU,"Husavik",65.9523055,-17.425978,1,1,47
BIIS,"Isafjordur",66.05533884,-23.14250263,1,1,7
BIKF,"Keflavik",63.98066273,-22.59533143,2,4,170
BIKR,"Saudarkrokur",65.73883071,-19.58074175,1,1,7
BIRK,"Reykjavik",64.13058123,-21.93379856,3,2,47
BKPR,"Pristina Intl",42.58291647,21.03030656,1,1,1789
CYAM,"Sault Ste Marie",46.48491094,-84.50043644,2,1,630
CYBC,"Baie Comeau",49.1322705,-68.207207,1,1,71
CYBG,"Bagotville",48.33118125,-70.9941655,2,1,522
CYBL,"Campbell River",49.95213200,-125.26903100,1,1,346
CYBR,"Brandon Muni",49.9092828333333,-99.9495163333333,3,1,1343
CYBW,"Calgary Springbank",51.10898200,-114.37682700,2,1,3937
CYBX,"Lourdes De Blanc Sablon",51.4421065,-57.186311,1,1,121
CYCG,"Castlegar",49.2962225,-117.632504,1,1,1624
CYDF,"Deer Lake",49.20978489,-57.39895855,1,1,72
CYEG,"Edmonton Intl",53.31043856,-113.58308277,2,3,2373
CYFC,"Fredericton",45.87240787,-66.52837011,2,2,68
CYGK,"Kingston",44.223472,-76.5984,2,1,305
CYGP,"Gaspe",48.7752775,-64.478611,1,1,108
CYGR,"Iles De La Madeleine",47.425196,-61.777085,2,1,35
CYGV,"Havre St Pierre",50.2819445,-63.611389,1,1,124
CYHD,"Dryden Rgnl",49.83020825,-92.74111025,2,1,1354
CYHM,"John C Munro Hamilton Intl",43.17210000,-79.93425000,2,1,780
CYHR,"Chevery",50.468974,-59.6366805,1,1,39
CYHU,"St Hubert",45.51507200,-73.41500100,3,1,90
CYHZ,"Halifax Intl",44.88112674,-63.50210080,2,2,477
CYIF,"St Augustin",51.211666,-58.658333,1,1,20
CYKA,"Kamloops",50.69917457,-120.44189468,2,1,1133
CYKF,"Waterloo",43.4600835,-80.38261275,2,1,1054
CYKZ,"Buttonville Muni",43.86048525,-79.3688215,2,1,650
CYLW,"Kelowna",49.95293300,-119.38127800,1,1,1409
CYMJ,"Moose Jaw Air Vice Marshal C M Mcewen",50.33645056,-105.56001773,3,1,1892
CYMM,"Fort Mcmurray",56.652639,-111.22195,1,1,1211
CYMX,"Montreal Mirabel Intl",45.67606000,-74.03439300,2,3,270
CYOO,"Oshawa",43.9227775,-78.89583325,2,1,459
CYOW,"Ottawa Macdonald Cartier Intl",45.32170400,-75.66503300,3,2,374
CYPA,"Prince Albert (glass Field)",53.21323100,-105.68048600,2,1,1405
CYPR,"Prince Rupert",54.29091637,-130.44501326,1,1,116
CYQB,"Quebec Jean Lesage Intl",46.79149600,-71.38351400,2,1,244
CYQG,"Windsor",42.26616325,-82.96060253,2,1,622
CYQI,"Yarmouth",43.8280555,-66.0879875,2,1,141
CYQL,"Lethbridge",49.6286805,-112.7971355,2,1,3047
